step,ee_x,ee_z,target_x,target_z,distance,action,reward
0,-0.31938734649151423,1.3233482034265203,-0.19843487433228735,1.2975681816875457,0.12366935610771179,6,-0.02572861579924718
1,-0.31940292278586346,1.3223224310520763,-0.19843487433228735,1.2975681816875457,0.12347486615180969,6,-0.023115011730491075
2,-0.31915439377311494,1.3199961175433879,-0.19843487433228735,1.2975681816875457,0.12278524041175842,6,-0.019117739477454578
3,-0.3182128195943037,1.3170591998235797,-0.19843487433228735,1.2975681816875457,0.12135343253612518,6,-0.014046072640715987
4,-0.3162949887049912,1.3140096069263956,-0.19843487433228735,1.2975681816875457,0.1190013736486435,6,-0.008205336013137252
5,-0.3132476881842601,1.3111772117615954,-0.19843487433228735,1.2975681816875457,0.1156165599822998,6,-0.0019257065442194058
6,-0.30902525080636734,1.3087506986978803,-0.19843487433228735,1.2975681816875457,0.11115431040525436,6,0.00445984484881267
7,-0.3036659097159675,1.306805573346072,-0.19843487433228735,1.2975681816875457,0.10563569515943527,6,0.01064820172518596
8,-0.2972696757395574,1.3053319743510219,-0.19843487433228735,1.2975681816875457,0.0991392657160759,6,0.0163915056201826
9,-0.2899787626659499,1.30426096857077,-0.19843487433228735,1.2975681816875457,0.09178821742534637,6,0.02151103647679195
10,-0.2819607245742374,1.303488088930956,-0.19843487433228735,1.2975681816875457,0.0837353765964508,6,0.025900331458748427
11,-0.27339414649542004,1.3028931390860214,-0.19843487433228735,1.2975681816875457,0.07514816522598267,6,0.029519784769714917
12,-0.2644567041227608,1.302355692811254,-0.19843487433228735,1.2975681816875457,0.06619518250226974,6,0.03238613935440883
13,-0.25531549631552564,1.3017661636334898,-0.19843487433228735,1.2975681816875457,0.05703532323241234,6,0.03455614405006274
14,-0.24611963648463434,1.3010327239779824,-0.19843487433228735,1.2975681816875457,0.04781045764684677,6,0.036106437763870805
15,-0.23699510847611674,1.30008465389672,-0.19843487433228735,1.2975681816875457,0.03864226117730141,6,10.037099576315583
16,-0.2280418052749143,1.2988728110752978,-0.19843487433228735,1.2975681816875457,0.029635699465870857,,
