episode,episode_return,final_distance,success,episode_steps,epsilon,mean_abs_td_error
1,8.205501221252026,0.029754946008324623,1,122,0.9985,0.09658497214580068
2,-18.948534542141825,0.2293383777141571,0,500,0.9970022500000001,0.03306468707782596
3,-20.892816360698742,0.19417941570281982,0,500,0.9955067466250002,0.036631157201426505
4,10.287487480286218,0.029511742293834686,1,10,0.9940134865050627,1.0333604525638973
5,-18.180697148225267,0.10555750131607056,0,500,0.9925224662753052,0.029693478005145758
6,4.7153674917684105,0.029773304238915443,1,158,0.9910336825758923,0.10637723484460636
7,-25.24582384973016,0.47566744685173035,0,500,0.9895471320520285,0.04099867452678131
8,7.414392393780618,0.02968766912817955,1,170,0.9880628113539505,0.07636273150574063
9,-19.521627750838395,0.12898938357830048,0,500,0.9865807171369196,0.032395445843032604
10,-13.491964137356527,0.06168728694319725,0,500,0.9851008460612143,0.02244790208320784
11,10.069631325572285,0.02906147949397564,1,5,0.9836231947921226,2.2175160541068806
12,9.360274461012235,0.029650582000613213,1,72,0.9821477599999344,0.1715553280654857
13,-20.898814630167337,0.10268988460302353,0,500,0.9806745383599346,0.05174916357121523
14,-20.229170946734815,0.1806095540523529,0,500,0.9792035265523947,0.0330967315486753
15,-16.516693419929688,0.21987803280353546,0,500,0.9777347212625662,0.02652860825290034
16,-11.703688969728734,0.15374621748924255,0,500,0.9762681191806725,0.020766349631480593
17,10.173075997614726,0.029813239350914955,1,27,0.9748037170019015,0.3842688815840147
18,-31.61409869334518,0.43628424406051636,0,500,0.9733415114263987,0.055154584733128745
19,-30.954080504461967,0.36455634236335754,0,500,0.9718814991592591,0.05101539570681456
20,-28.815906517884727,0.3082501292228699,0,500,0.9704236769105203,0.05186499010960796
21,-19.15048413972926,0.1336340308189392,0,500,0.9689680413951546,0.03171692344335899
22,-42.683543079707135,0.5026958584785461,0,500,0.9675145893330619,0.07431057678438387
23,-15.757722769995102,0.18657942116260529,0,500,0.9660633174490624,0.03389985926842518
24,-7.014392681141471,0.029981622472405434,1,473,0.9646142224728889,0.05841125442808862
25,-24.81357219173859,0.19087710976600647,0,500,0.9631673011391796,0.041137382025164114
26,10.196531701104348,0.029142461717128754,1,7,0.9617225501874709,1.6179411386489448
27,10.093396987209477,0.02969033271074295,1,11,0.9602799663621897,1.0543418954223451
28,8.565662751894067,0.029972949996590614,1,100,0.9588395464126465,0.17514621727906954
29,-36.534025095361166,0.5515246391296387,0,500,0.9574012870930275,0.06497481785016641
30,-13.687093190421246,0.13521724939346313,0,500,0.955965185162388,0.06730739762981554
31,10.369176314205983,0.029829781502485275,1,11,0.9545312373846445,0.9514889032654573
32,-37.457334409252574,0.32963693141937256,0,500,0.9530994405285677,0.06526107592386823
33,-10.132063367177674,0.02957293950021267,1,492,0.9516697913677749,0.07180198447620019
34,9.072291984270993,0.029026200994849205,1,47,0.9502422866807232,0.24969087350404923
